

***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #0 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: SUCCESS
Environment #1 Trial #0: SUCCESS


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: SUCCESS
Environment #1 Trial #0: FAIL


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: FAIL
Environment #1 Trial #0: FAIL


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: FAIL
Environment #1 Trial #0: FAIL


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: FAIL
Environment #1 Trial #0: FAIL


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: FAIL
Environment #1 Trial #0: FAIL


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: FAIL
Environment #1 Trial #0: FAIL
Environment #2 Trial #0: SUCCESS
Environment #3 Trial #0: SUCCESS
Environment #4 Trial #0: SUCCESS
Environment #5 Trial #0: SUCCESS


***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****



***** Start Trial #0 *****

Environment #0 Trial #0: FAIL
Environment #1 Trial #0: FAIL
Environment #2 Trial #0: FAIL
Environment #3 Trial #0: FAIL
Environment #4 Trial #0: FAIL
Environment #5 Trial #0: FAIL
Environment #6 Trial #0: SUCCESS



